name,kind,address,when,oldaddress,howmany,giftcard,restroom,parking,whenopen
관문시장,상설,대구광역시 남구 대명동 1157-10,상설,대구 남구 대명동 1160,48,,Y,Y,,
대명신시장,상설,대구광역시 남구 대명동 1374-54,상설,대구 남구 대명동 2282-2,105,온누리상품권,Y,Y,2011,
광덕시장,상설,대구광역시 남구 대명동 460,상설,대구 남구 대명동 460,74,온누리상품권,Y,N,2012,
남부시장,상설,대구광역시 남구 대명동 797,상설,대구 남구 대명동 797,83,온누리상품권,Y,N,2006,
안지랑시장,상설,대구광역시 남구 대명동 872,상설,대구 남구 대명동 872,94,온누리상품권,Y,Y,2007,
봉덕시장,상설,대구광역시 남구 봉덕동 961,상설,대구 남구 봉덕동 961,83,온누리상품권,Y,Y,2006,
봉덕신시장,상설,대구광역시 남구 봉덕동 97-80,상설,대구 남구 봉덕동 955-80,243,온누리상품권,Y,N,2006,
달서송림시장,상설,대구광역시 달서구 구마로 176,상설,대구 달서구 본동 225-1,66,,Y,Y,1992,
용산종합큰시장,상설,대구광역시 달서구 달구벌대로 301길 187-11,상설,대구 달서구 용산동 933,54,온누리상품권,Y,N,2010,
서남시장,상설,대구광역시 달서구 달구벌대로 329길 17,상설,대구 달서구 감삼동 55-5,123,온누리상품권,Y,N,2009,
서남신시장,상설,대구광역시 달서구 달구벌대로9길 32,상설,대구 달서구 감삼동 56-18,106,온누리상품권,Y,Y,2005,
두류종합시장,상설,대구광역시 달서구 당산동길 9,상설,대구 달서구 성당동 704-5,142,온누리상품권,Y,Y,2006,
달서시장,상설,대구광역시 달서구 당산로 35,상설,대구 달서구 본리동 145-2,193,온누리상품권,Y,N,2006,
도원시장,상설,대구광역시 달서구 도원도동길 8,상설,대구 달서구 도원동 1437-1,51,온누리상품권,Y,N,2007,
대곡시장,상설,대구광역시 달서구 도원로 24,상설,대구 달서구 도원동 1432,63,온누리상품권,Y,N,2007,
서대구시장,상설,대구광역시 달서구 명덕로2길 30,상설,대구 달서구 두류동 1216-1,18,온누리상품권,Y,N,2013,
대구대동시장,상설,대구광역시 달서구 상원로 22-24,상설,대구 달서구 상인동 1472-1,72,온누리상품권,Y,N,2007,
상원시장,상설,대구광역시 달서구 상인로 9,상설,대구 달서구 상인동 1582-4,73,온누리상품권,N,N,2008,
성서와룡시장,상설,대구광역시 달서구 성서서로 347-1,상설,대구 달서구 신당동 1763-9,186,온누리상품권,Y,N,1994,
송경종합시장,상설,대구광역시 달서구 앞산순환로 49길 73,상설,대구 달서구 송현동 1941-3,63,,Y,N,1988,
신내당시장,상설,대구광역시 달서구 야외음악당로 39길 62,상설,대구 달서구 두류동 486-1,87,,Y,N,1977,
대구예전우시장,상설,대구광역시 달서구 야외음악당로 47길 111,상설,대구 달서구 두류동 136-6,73,,Y,N,2012,
성서용산시장,상설,대구광역시 달서구 용산동 442-8,상설,대구 달서구 용산동 421-1,149,온누리상품권,N,N,2009,
월배시장,상설,대구광역시 달서구 월배로 24길 13,상설,대구 달서구 진천동 241-3,174,온누리상품권,Y,Y,2006,
월배신시장,상설,대구광역시 달서구 월배로 28안길 54,상설,대구 달서구 진천동 239-23 외13필지,52,온누리상품권,Y,N,2013,
월성청구시장,상설,대구광역시 달서구 학산로 17,상설,대구 달서구 월성동 89-2,71,온누리상품권,Y,Y,2006,
